num_threads,vector_size,mfc/s,hpx_counter
11, 1000000 ,20.5061,"
/threads{locality#0/total/total}/idle-rate,1,1.053535,[s],9973,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,1.053720,[s],9978,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,1.053513,[s],9958,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,1.054527,[s],9979,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,1.054389,[s],9978,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,1.054143,[s],9979,[0.01%]
/threads{locality#0/pool#default/worker-thread#5}/idle-rate,1,1.054466,[s],9981,[0.01%]
/threads{locality#0/pool#default/worker-thread#6}/idle-rate,1,1.054844,[s],9975,[0.01%]
/threads{locality#0/pool#default/worker-thread#7}/idle-rate,1,1.053807,[s],9933,[0.01%]
/threads{locality#0/pool#default/worker-thread#8}/idle-rate,1,1.055054,[s],9974,[0.01%]
/threads{locality#0/pool#default/worker-thread#9}/idle-rate,1,1.053823,[s],9984,[0.01%]
/threads{locality#0/pool#default/worker-thread#10}/idle-rate,1,1.053572,[s],9980,[0.01%] "
12, 1000000 ,19.78,"
/threads{locality#0/total/total}/idle-rate,1,1.042500,[s],9972,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,1.040141,[s],9976,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,1.040394,[s],9959,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,1.040704,[s],9938,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,1.040253,[s],9981,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,1.042067,[s],9979,[0.01%]
/threads{locality#0/pool#default/worker-thread#5}/idle-rate,1,1.042386,[s],9981,[0.01%]
/threads{locality#0/pool#default/worker-thread#6}/idle-rate,1,1.042178,[s],8835,[0.01%]
/threads{locality#0/pool#default/worker-thread#7}/idle-rate,1,1.042108,[s],9981,[0.01%]
/threads{locality#0/pool#default/worker-thread#8}/idle-rate,1,1.042431,[s],9982,[0.01%]
/threads{locality#0/pool#default/worker-thread#9}/idle-rate,1,1.042212,[s],9983,[0.01%]
/threads{locality#0/pool#default/worker-thread#10}/idle-rate,1,1.041254,[s],9984,[0.01%]
/threads{locality#0/pool#default/worker-thread#11}/idle-rate,1,1.040793,[s],9985,[0.01%] "
13, 1000000 ,20.6864,"
/threads{locality#0/total/total}/idle-rate,1,1.041715,[s],9977,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,1.041489,[s],9981,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,1.041902,[s],9985,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,1.039710,[s],9940,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,1.039784,[s],9965,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,1.039627,[s],8764,[0.01%]
/threads{locality#0/pool#default/worker-thread#5}/idle-rate,1,1.040179,[s],9984,[0.01%]
/threads{locality#0/pool#default/worker-thread#6}/idle-rate,1,1.041015,[s],9980,[0.01%]
/threads{locality#0/pool#default/worker-thread#7}/idle-rate,1,1.041823,[s],9985,[0.01%]
/threads{locality#0/pool#default/worker-thread#8}/idle-rate,1,1.040535,[s],9980,[0.01%]
/threads{locality#0/pool#default/worker-thread#9}/idle-rate,1,1.041554,[s],9985,[0.01%]
/threads{locality#0/pool#default/worker-thread#10}/idle-rate,1,1.040584,[s],9984,[0.01%]
/threads{locality#0/pool#default/worker-thread#11}/idle-rate,1,1.041688,[s],9984,[0.01%]
/threads{locality#0/pool#default/worker-thread#12}/idle-rate,1,1.042023,[s],9984,[0.01%] "
14, 1000000 ,20.6096,"
/threads{locality#0/total/total}/idle-rate,1,1.037177,[s],9975,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,1.037096,[s],9977,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,1.036203,[s],9982,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,1.035108,[s],9982,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,1.035737,[s],9983,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,1.037259,[s],9985,[0.01%]
/threads{locality#0/pool#default/worker-thread#5}/idle-rate,1,1.035161,[s],9962,[0.01%]
/threads{locality#0/pool#default/worker-thread#6}/idle-rate,1,1.035081,[s],9986,[0.01%]
/threads{locality#0/pool#default/worker-thread#7}/idle-rate,1,1.035804,[s],9983,[0.01%]
/threads{locality#0/pool#default/worker-thread#8}/idle-rate,1,1.037184,[s],9955,[0.01%]
/threads{locality#0/pool#default/worker-thread#9}/idle-rate,1,1.035950,[s],9991,[0.01%]
/threads{locality#0/pool#default/worker-thread#10}/idle-rate,1,1.037108,[s],9220,[0.01%]
/threads{locality#0/pool#default/worker-thread#11}/idle-rate,1,1.037221,[s],9236,[0.01%]
/threads{locality#0/pool#default/worker-thread#12}/idle-rate,1,1.036874,[s],9988,[0.01%]
/threads{locality#0/pool#default/worker-thread#13}/idle-rate,1,1.037050,[s],9991,[0.01%] "
15, 1000000 ,21.1358,"
/threads{locality#0/total/total}/idle-rate,1,1.036593,[s],9980,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,1.035939,[s],9981,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,1.036766,[s],9963,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,1.035886,[s],9987,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,1.035768,[s],9988,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,1.035330,[s],9987,[0.01%]
/threads{locality#0/pool#default/worker-thread#5}/idle-rate,1,1.035437,[s],9987,[0.01%]
/threads{locality#0/pool#default/worker-thread#6}/idle-rate,1,1.034773,[s],9984,[0.01%]
/threads{locality#0/pool#default/worker-thread#7}/idle-rate,1,1.034894,[s],8613,[0.01%]
/threads{locality#0/pool#default/worker-thread#8}/idle-rate,1,1.035461,[s],9947,[0.01%]
/threads{locality#0/pool#default/worker-thread#9}/idle-rate,1,1.034915,[s],9991,[0.01%]
/threads{locality#0/pool#default/worker-thread#10}/idle-rate,1,1.035937,[s],9983,[0.01%]
/threads{locality#0/pool#default/worker-thread#11}/idle-rate,1,1.036361,[s],9991,[0.01%]
/threads{locality#0/pool#default/worker-thread#12}/idle-rate,1,1.035999,[s],9991,[0.01%]
/threads{locality#0/pool#default/worker-thread#13}/idle-rate,1,1.035946,[s],9990,[0.01%]
/threads{locality#0/pool#default/worker-thread#14}/idle-rate,1,1.035961,[s],9985,[0.01%] "
16, 1000000 ,20.1066,"
/threads{locality#0/total/total}/idle-rate,1,1.067424,[s],9974,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,1.068861,[s],8811,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,1.069269,[s],9967,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,1.069340,[s],9986,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,1.069190,[s],9981,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,1.066256,[s],9986,[0.01%]
/threads{locality#0/pool#default/worker-thread#5}/idle-rate,1,1.066612,[s],9985,[0.01%]
/threads{locality#0/pool#default/worker-thread#6}/idle-rate,1,1.067521,[s],8703,[0.01%]
/threads{locality#0/pool#default/worker-thread#7}/idle-rate,1,1.067611,[s],5233,[0.01%]
/threads{locality#0/pool#default/worker-thread#8}/idle-rate,1,1.066704,[s],8762,[0.01%]
/threads{locality#0/pool#default/worker-thread#9}/idle-rate,1,1.066841,[s],9985,[0.01%]
/threads{locality#0/pool#default/worker-thread#10}/idle-rate,1,1.067590,[s],9984,[0.01%]
/threads{locality#0/pool#default/worker-thread#11}/idle-rate,1,1.066588,[s],9983,[0.01%]
/threads{locality#0/pool#default/worker-thread#12}/idle-rate,1,1.069295,[s],9979,[0.01%]
/threads{locality#0/pool#default/worker-thread#13}/idle-rate,1,1.068482,[s],9986,[0.01%]
/threads{locality#0/pool#default/worker-thread#14}/idle-rate,1,1.067555,[s],9986,[0.01%]
/threads{locality#0/pool#default/worker-thread#15}/idle-rate,1,1.069492,[s],9979,[0.01%] "
1, 2000000 ,24.8478,"
/threads{locality#0/total/total}/idle-rate,1,1.091136,[s],9601,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,1.091174,[s],9601,[0.01%] "
2, 2000000 ,32.1518,"
/threads{locality#0/total/total}/idle-rate,1,1.080121,[s],9799,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,1.080200,[s],9791,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,1.080177,[s],9805,[0.01%] "
3, 2000000 ,31.9688,"
/threads{locality#0/total/total}/idle-rate,1,1.083091,[s],9842,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,1.083147,[s],9840,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,1.083140,[s],9820,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,1.083004,[s],9864,[0.01%] "
4, 2000000 ,36.0153,"
/threads{locality#0/total/total}/idle-rate,1,1.074626,[s],9895,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,1.074453,[s],9916,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,1.074173,[s],9870,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,1.074504,[s],9909,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,1.074222,[s],9884,[0.01%] "
5, 2000000 ,36.3412,"
/threads{locality#0/total/total}/idle-rate,1,1.079426,[s],9907,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,1.079340,[s],9921,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,1.078846,[s],9873,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,1.079104,[s],9896,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,1.079157,[s],9916,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,1.079295,[s],9926,[0.01%] "
6, 2000000 ,40.7556,"
/threads{locality#0/total/total}/idle-rate,1,1.073656,[s],9934,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,1.074615,[s],9922,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,1.074249,[s],9939,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,1.073455,[s],9903,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,1.074503,[s],9945,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,1.073498,[s],9946,[0.01%]
/threads{locality#0/pool#default/worker-thread#5}/idle-rate,1,1.074539,[s],9948,[0.01%] "
7, 2000000 ,39.6495,"
/threads{locality#0/total/total}/idle-rate,1,1.075328,[s],9941,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,1.075253,[s],9927,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,1.075964,[s],9949,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,1.075733,[s],9948,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,1.074909,[s],9951,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,1.075839,[s],9930,[0.01%]
/threads{locality#0/pool#default/worker-thread#5}/idle-rate,1,1.075792,[s],9930,[0.01%]
/threads{locality#0/pool#default/worker-thread#6}/idle-rate,1,1.074954,[s],9949,[0.01%] "
8, 2000000 ,38.9272,"
/threads{locality#0/total/total}/idle-rate,1,1.086872,[s],9947,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,1.086544,[s],9956,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,1.085609,[s],9958,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,1.085966,[s],9911,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,1.086666,[s],9937,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,1.086069,[s],9955,[0.01%]
/threads{locality#0/pool#default/worker-thread#5}/idle-rate,1,1.086755,[s],9955,[0.01%]
/threads{locality#0/pool#default/worker-thread#6}/idle-rate,1,1.086776,[s],9958,[0.01%]
/threads{locality#0/pool#default/worker-thread#7}/idle-rate,1,1.086943,[s],9947,[0.01%] "
9, 2000000 ,37.5897,"
/threads{locality#0/total/total}/idle-rate,1,1.084147,[s],9946,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,1.083400,[s],9932,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,1.084589,[s],9964,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,1.084292,[s],8378,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,1.084046,[s],9918,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,1.083675,[s],9961,[0.01%]
/threads{locality#0/pool#default/worker-thread#5}/idle-rate,1,1.084494,[s],9961,[0.01%]
/threads{locality#0/pool#default/worker-thread#6}/idle-rate,1,1.083184,[s],9958,[0.01%]
/threads{locality#0/pool#default/worker-thread#7}/idle-rate,1,1.084408,[s],9959,[0.01%]
/threads{locality#0/pool#default/worker-thread#8}/idle-rate,1,1.084464,[s],9948,[0.01%] "
10, 2000000 ,39.319,"
/threads{locality#0/total/total}/idle-rate,1,1.073714,[s],9940,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,1.074670,[s],9853,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,1.074602,[s],9921,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,1.075135,[s],9962,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,1.074271,[s],9962,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,1.074769,[s],9958,[0.01%]
/threads{locality#0/pool#default/worker-thread#5}/idle-rate,1,1.074410,[s],9945,[0.01%]
/threads{locality#0/pool#default/worker-thread#6}/idle-rate,1,1.074886,[s],9967,[0.01%]
/threads{locality#0/pool#default/worker-thread#7}/idle-rate,1,1.074665,[s],9966,[0.01%]
/threads{locality#0/pool#default/worker-thread#8}/idle-rate,1,1.073837,[s],9959,[0.01%]
/threads{locality#0/pool#default/worker-thread#9}/idle-rate,1,1.073857,[s],9966,[0.01%] "
11, 2000000 ,40.3967,"
/threads{locality#0/total/total}/idle-rate,1,1.076807,[s],9962,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,1.074891,[s],9945,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,1.075075,[s],9926,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,1.076535,[s],9965,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,1.076359,[s],9962,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,1.076430,[s],9971,[0.01%]
/threads{locality#0/pool#default/worker-thread#5}/idle-rate,1,1.076655,[s],9972,[0.01%]
/threads{locality#0/pool#default/worker-thread#6}/idle-rate,1,1.075763,[s],9971,[0.01%]
/threads{locality#0/pool#default/worker-thread#7}/idle-rate,1,1.075842,[s],9970,[0.01%]
/threads{locality#0/pool#default/worker-thread#8}/idle-rate,1,1.075170,[s],9963,[0.01%]
/threads{locality#0/pool#default/worker-thread#9}/idle-rate,1,1.076456,[s],9969,[0.01%]
/threads{locality#0/pool#default/worker-thread#10}/idle-rate,1,1.075198,[s],9967,[0.01%] "
12, 2000000 ,32.7327,"
/threads{locality#0/total/total}/idle-rate,1,1.082023,[s],9965,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,1.081364,[s],9975,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,1.080948,[s],9955,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,1.080996,[s],9971,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,1.080693,[s],9970,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,1.081487,[s],9971,[0.01%]
/threads{locality#0/pool#default/worker-thread#5}/idle-rate,1,1.082395,[s],9936,[0.01%]
/threads{locality#0/pool#default/worker-thread#6}/idle-rate,1,1.081942,[s],9974,[0.01%]
/threads{locality#0/pool#default/worker-thread#7}/idle-rate,1,1.082590,[s],9971,[0.01%]
/threads{locality#0/pool#default/worker-thread#8}/idle-rate,1,1.082190,[s],9968,[0.01%]
/threads{locality#0/pool#default/worker-thread#9}/idle-rate,1,1.081812,[s],9972,[0.01%]
/threads{locality#0/pool#default/worker-thread#10}/idle-rate,1,1.082607,[s],9973,[0.01%]
/threads{locality#0/pool#default/worker-thread#11}/idle-rate,1,1.082136,[s],9973,[0.01%] "
13, 2000000 ,32.73,"
/threads{locality#0/total/total}/idle-rate,1,1.080134,[s],9967,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,1.079624,[s],9969,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,1.079158,[s],9975,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,1.079382,[s],9975,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,1.080414,[s],9970,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,1.078450,[s],9969,[0.01%]
/threads{locality#0/pool#default/worker-thread#5}/idle-rate,1,1.078556,[s],9975,[0.01%]
/threads{locality#0/pool#default/worker-thread#6}/idle-rate,1,1.079700,[s],9956,[0.01%]
/threads{locality#0/pool#default/worker-thread#7}/idle-rate,1,1.080359,[s],9938,[0.01%]
/threads{locality#0/pool#default/worker-thread#8}/idle-rate,1,1.080252,[s],9965,[0.01%]
/threads{locality#0/pool#default/worker-thread#9}/idle-rate,1,1.080300,[s],9970,[0.01%]
/threads{locality#0/pool#default/worker-thread#10}/idle-rate,1,1.079773,[s],9967,[0.01%]
/threads{locality#0/pool#default/worker-thread#11}/idle-rate,1,1.080518,[s],9969,[0.01%]
/threads{locality#0/pool#default/worker-thread#12}/idle-rate,1,1.080548,[s],9968,[0.01%] "
14, 2000000 ,37.2218,"
/threads{locality#0/total/total}/idle-rate,1,1.084685,[s],9965,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,1.084149,[s],9971,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,1.084857,[s],9975,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,1.083502,[s],9972,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,1.083761,[s],9976,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,1.083528,[s],9971,[0.01%]
/threads{locality#0/pool#default/worker-thread#5}/idle-rate,1,1.083014,[s],9975,[0.01%]
/threads{locality#0/pool#default/worker-thread#6}/idle-rate,1,1.083410,[s],9953,[0.01%]
/threads{locality#0/pool#default/worker-thread#7}/idle-rate,1,1.083563,[s],9972,[0.01%]
/threads{locality#0/pool#default/worker-thread#8}/idle-rate,1,1.085230,[s],9911,[0.01%]
/threads{locality#0/pool#default/worker-thread#9}/idle-rate,1,1.084024,[s],9968,[0.01%]
/threads{locality#0/pool#default/worker-thread#10}/idle-rate,1,1.085187,[s],9967,[0.01%]
/threads{locality#0/pool#default/worker-thread#11}/idle-rate,1,1.085256,[s],9963,[0.01%]
/threads{locality#0/pool#default/worker-thread#12}/idle-rate,1,1.084974,[s],9968,[0.01%]
/threads{locality#0/pool#default/worker-thread#13}/idle-rate,1,1.084074,[s],9970,[0.01%] "
